# Repo Audit Index (All Files Listed)

## First-party files (annotated)

| File Path | Purpose | Key Exports | Issues Found | Severity | Action |
|---|---|---|---|---|---|
| `src/server.ts` | Express API server, routes | App, routes | Auto/Manual path divergence | P2 | Refactor |
| `src/engine/indicatorFactory.ts` | Routes to indicator service | `getIndicators` | Pass-through only | None | Keep |
| `src/engine/indicatorService.ts` | Fetches all indicators | `fetchIndicators`, `IndicatorData` | NaN handling, H4 fallback thresholds, cache TTL | P0 | Fix |
| `src/engine/strategyAnalyzer.ts` | Strategy execution bridge | `analyzeWithStrategy`, `scanWithStrategy` | Cache fingerprinting incomplete | P2 | Fix |
| `src/strategies/types.ts` | Type definitions | `Decision`, `IndicatorData`, `Bar` | None | None | Keep |
| `src/strategies/registry.ts` | Strategy registry | `strategyRegistry` | None | None | Keep |
| `src/strategies/utils.ts` | Shared utilities | `buildDecision`, `validateIndicators` | None | None | Keep |
| `src/strategies/SignalQualityGate.ts` | Pre-flight checks | `runPreFlight`, `H4TrendResult` | H4 bar count validation | P2 | Fix |
| `src/strategies/intraday/EmaPullback.ts` | EMA Pullback strategy | `EmaPullback` | Signal/Entry bar confusion, Gate 7 incomplete | P1 | Fix |
| `src/strategies/intraday/RsiOversold.ts` | RSI strategy | `RsiOversold` | Similar pattern issues | P2 | Review |
| `src/strategies/intraday/StochasticOversold.ts` | Stoch strategy | `StochasticOversold` | Similar pattern issues | P2 | Review |
| `src/strategies/intraday/BollingerMR.ts` | BB Mean Reversion | `BollingerMR` | Similar pattern issues | P2 | Review |
| `src/strategies/intraday/WilliamsEma.ts` | Williams %R | `WilliamsEma` | Similar pattern issues | P2 | Review |
| `src/strategies/intraday/TripleEma.ts` | Triple EMA | `TripleEma` | Similar pattern issues | P2 | Review |
| `src/strategies/intraday/BreakRetest.ts` | Break & Retest | `BreakRetest` | Similar pattern issues | P2 | Review |
| `src/strategies/intraday/CciZeroLine.ts` | CCI Zero Cross | `CciZeroLine` | Similar pattern issues | P2 | Review |
| `src/strategies/intraday/MultiOscillatorMomentum.ts` | Multi-Oscillator | `MultiOscillatorMomentum` | Similar pattern issues | P2 | Review |
| `src/strategies/intraday/LiquiditySweep.ts` | Liquidity Sweep | `LiquiditySweep` | Similar pattern issues | P2 | Review |
| `src/services/cache.ts` | In-memory cache | `cache`, `CACHE_TTL` | TTL not bar-aligned | P0 | Fix |
| `src/services/twelveDataClient.ts` | Twelve Data API | `twelveData` | None critical | None | Keep |
| `src/services/autoScanService.ts` | Auto scan orchestration | `autoScanService` | Path divergence | P2 | Fix |
| `src/services/volatilityGate.ts` | Volatility filter | `checkVolatility` | None | None | Keep |
| `src/services/signalCooldown.ts` | Cooldown tracking | `signalCooldown` | None | None | Keep |
| `src/services/detectionService.ts` | Detection management | Detection CRUD | None | None | Keep |
| `src/services/logger.ts` | Logging | `createLogger` | None | None | Keep |
| `src/services/rateLimiter.ts` | API rate limiting | `rateLimiter` | None | None | Keep |
| `src/services/circuitBreaker.ts` | API circuit breaker | `twelveDataCircuit` | None | None | Keep |
| `src/services/gradeTracker.ts` | Grade upgrade tracking | `gradeTracker` | None | None | Keep |
| `src/services/alertService.ts` | Email alerts | `alertService` | None | None | Keep |
| `src/services/grokSentimentService.ts` | Sentiment analysis | `grokSentimentService` | None | None | Keep |
| `src/services/backtestService.ts` | Backtesting | `runBacktest` | None | None | Keep |
| `src/services/drawdownGuard.ts` | Drawdown limits | `checkDrawdownLimits` | None | None | Keep |
| `src/services/sseBroadcaster.ts` | SSE events | `broadcastSSE` | None | None | Keep |
| `src/storage/signalStore.ts` | Signal persistence | `signalStore` | None | None | Keep |
| `src/storage/journalStore.ts` | Journal persistence | `journalStore` | None | None | Keep |
| `src/storage/detectionStore.ts` | Detection persistence | Detection CRUD | None | None | Keep |
| `src/storage/signalFreshnessTracker.ts` | Signal age tracking | `trackSignal` | None | None | Keep |
| `src/config/strategy.ts` | Strategy config | `STRATEGY`, `STYLE_PRESETS` | None | None | Keep |
| `src/config/defaults.ts` | Default values | `DEFAULTS` | None | None | Keep |
| `src/config/e8InstrumentSpecs.ts` | Instrument specs | `ACTIVE_INSTRUMENTS` | None | None | Keep |
| `src/modules/regimeDetector.ts` | Regime detection | `calculateATRPercentile` | None | None | Keep |
| `src/utils/validation.ts` | Input validation | `validateSettings` | None | None | Keep |
| `src/utils/timeUtils.ts` | Time utilities | `formatSignalAge` | None | None | Keep |
| `src/utils/timezone.ts` | Timezone handling | `getCurrentSession` | None | None | Keep |
| `src/validation/schemas.ts` | Zod schemas | Various schemas | None | None | Keep |
| `src/middleware/validate.ts` | Validation middleware | `validateBody` | None | None | Keep |
| `src/middleware/requestId.ts` | Request ID | `requestIdMiddleware` | None | None | Keep |
| `src/types/detection.ts` | Detection types | `DetectedTrade` | None | None | Keep |
| `src/db/client.ts` | Database client | `initDb` | None | None | Keep |
| `public/js/api.js` | API client | None | None | Keep |
| `public/js/app.js` | Main app | Strategy persistence | P2 | Fix |
| `public/js/ui.js` | UI components | None | None | Keep |
| `public/js/storage.js` | Local storage | None | None | Keep |
| `public/index.html` | Main HTML | None | None | Keep |
| `public/css/styles.css` | Styles | None | None | Keep |
| `archive/legacy-engine/grader.ts` | Legacy engine grading | N/A | None | None | Keep |
| `archive/legacy-engine/batchDataService.ts` | Legacy data fetching | N/A | None | None | Keep |
| `archive/legacy-engine/entryTrigger.ts` | Legacy entry logic | N/A | None | None | Keep |
| `archive/legacy-engine/trendFilter.ts` | Legacy trend filter | N/A | None | None | Keep |
| `README.md` | Project docs | N/A | None | None | Keep |
| `AUDIT_REPORT.md` | Prior audit doc | N/A | None | None | Keep |
| `ENTERPRISE_ASSESSMENT.md` | Assessment doc | N/A | None | None | Keep |
| `tsconfig.json` | TS config | N/A | None | None | Keep |
| `.env.example` | Env template | N/A | None | None | Keep |
| `package.json` | Dependencies | N/A | None | None | Keep |
| `package-lock.json` | Lockfile | N/A | None | None | Keep |
| `data/signals.json` | Runtime data | N/A | None | None | Keep |
| `data/journal.json` | Runtime data | N/A | None | None | Keep |
| `data/autoScanConfig.json` | Runtime config | N/A | None | None | Keep |
| `data/drawdown/default.json` | Runtime data | N/A | None | None | Keep |

## Third-party files (node_modules)

> Vendor code: inventoried only. No line-by-line logic audit performed. Use SCA tooling for dependency risks.

